n,type,x,err
7,uni,-4.600000000000004e-02,2.068444529396853e-01
7,uni,-4.400000000000004e-02,2.100966844414670e-01
7,uni,-4.200000000000004e-02,2.132366564623048e-01
7,uni,-4.000000000000004e-02,2.162603371215639e-01
7,uni,-3.800000000000003e-02,2.191638010959402e-01
7,uni,-3.600000000000003e-02,2.219432395406149e-01
7,uni,-3.400000000000003e-02,2.245949698925387e-01
7,uni,-3.200000000000003e-02,2.271154455125356e-01
7,uni,-3.000000000000003e-02,2.295012651225138e-01
7,uni,-2.800000000000002e-02,2.317491819939621e-01
7,uni,-2.600000000000002e-02,2.338561128441162e-01
7,uni,-2.400000000000002e-02,2.358191463966760e-01
7,uni,-2.200000000000002e-02,2.376355515648112e-01
7,uni,-2.000000000000002e-02,2.393027852153391e-01
7,uni,-1.800000000000002e-02,2.408184994744357e-01
7,uni,-1.600000000000001e-02,2.421805485370462e-01
7,uni,-1.400000000000001e-02,2.433869949442578e-01
7,uni,-1.200000000000001e-02,2.444361152953037e-01
7,uni,-1.000000000000001e-02,2.453264053635433e-01
7,uni,-8.000000000000007e-03,2.460565845887071e-01
7,uni,-6.000000000000005e-03,2.466255999208796e-01
